Data,Zamkniecie
2020-01-02,2200.1
2020-01-03,2173.97
2020-01-07,2145.01
2020-01-08,2115.99
2020-01-09,2157.61
2020-01-10,2167.91
2020-01-13,2194.42
2020-01-14,2182.96
2020-01-15,2165.08
2020-01-16,2173.74
2020-01-17,2175.95
2020-01-20,2178.06
2020-01-21,2158.04
2020-01-22,2146.56
2020-01-23,2148.41
2020-01-24,2154.28
2020-01-27,2083.79
2020-01-28,2098.04
2020-01-29,2098.18
2020-01-30,2079.98
2020-01-31,2065.9
2020-02-03,2072.88
2020-02-04,2106.63
2020-02-05,2122.91
2020-02-06,2111.76
2020-02-07,2110.2
2020-02-10,2092.89
2020-02-11,2107.4
2020-02-12,2126.31
2020-02-13,2120.07
2020-02-14,2115.29
2020-02-17,2121.14
2020-02-18,2113.49
2020-02-19,2115.18
2020-02-20,2099.88
2020-02-21,2088.53
2020-02-24,2000.9
2020-02-25,1945.71
2020-02-26,1933.51
2020-02-27,1850.61
2020-02-28,1768.91
2020-03-02,1807.7
2020-03-03,1889.67
2020-03-04,1860.95
2020-03-05,1822.85
2020-03-06,1764.81
2020-03-09,1625.99
2020-03-10,1599.48
2020-03-11,1505.64
2020-03-12,1305.73
2020-03-13,1365.97
2020-03-16,1341.54
2020-03-17,1429.28
2020-03-18,1401.29
2020-03-19,1469.43
2020-03-20,1488.42
2020-03-23,1405.45
2020-03-24,1451.02
2020-03-25,1441.83
2020-03-26,1492.01
2020-03-27,1475.9
2020-03-30,1477.65
2020-03-31,1512.84
2020-04-01,1482.42
2020-04-02,1491.55
2020-04-03,1506.48
2020-04-06,1581.05
2020-04-07,1603.5
2020-04-08,1579.18
2020-04-09,1615.72
2020-04-14,1662.4
2020-04-15,1606.21
2020-04-16,1597.9
2020-04-17,1625.59
2020-04-20,1640.06
2020-04-21,1573.44
2020-04-22,1605.12
2020-04-23,1626.1
2020-04-24,1601.91
2020-04-27,1591.97
2020-04-28,1594.25
2020-04-29,1651.33
2020-04-30,1648.68
2020-05-04,1600.65
2020-05-05,1598.84
2020-05-06,1567.98
2020-05-07,1587.35
2020-05-08,1606.5
2020-05-11,1587.31
2020-05-12,1622.51
2020-05-13,1614.32
2020-05-14,1579.16
2020-05-15,1572.55
2020-05-18,1639.08
2020-05-19,1640.18
2020-05-20,1652.64
2020-05-21,1637.84
2020-05-22,1630.44
2020-05-25,1644.74
2020-05-26,1709.71
2020-05-27,1707.59
2020-05-28,1718.45
2020-05-29,1722.65
2020-06-01,1733.52
2020-06-02,1736.36
2020-06-03,1766.85
2020-06-04,1786.58
2020-06-05,1842.47
2020-06-08,1841.25
2020-06-09,1835.59
2020-06-10,1841.18
2020-06-12,1788.83
2020-06-15,1741.47
2020-06-16,1798
2020-06-17,1787.81
2020-06-18,1795.86
2020-06-19,1807.85
2020-06-22,1797.05
2020-06-23,1825.99
2020-06-24,1784.23
2020-06-25,1793.36
2020-06-26,1759.43
2020-06-29,1769.47
2020-06-30,1758.82
2020-07-01,1772.38
2020-07-02,1804.01
2020-07-03,1800.96
2020-07-06,1818.55
2020-07-07,1800.93
2020-07-08,1788.22
2020-07-09,1791.68
2020-07-10,1797.27
2020-07-13,1801.64
2020-07-14,1771.7
2020-07-15,1794.78
2020-07-16,1799.08
2020-07-17,1796.04
2020-07-20,1840.6
2020-07-21,1845.34
2020-07-22,1830.61
2020-07-23,1820.25
2020-07-24,1810.33
2020-07-27,1830.87
2020-07-28,1823.52
2020-07-29,1824.53
2020-07-30,1763.22
2020-07-31,1767.54
2020-08-03,1804.38
2020-08-04,1811.46
2020-08-05,1833.2
2020-08-06,1818.64
2020-08-07,1817.23
2020-08-10,1823.15
2020-08-11,1847.73
2020-08-12,1855.86
2020-08-13,1858.35
2020-08-14,1856.56
2020-08-17,1862.12
2020-08-18,1840.33
2020-08-19,1833.22
2020-08-20,1815.03
2020-08-21,1820.6
2020-08-24,1841.46
2020-08-25,1821.29
2020-08-26,1848.35
2020-08-27,1846.5
2020-08-28,1829.79
2020-08-31,1800.21
2020-09-01,1772.61
2020-09-02,1785.44
2020-09-03,1769.19
2020-09-04,1758.11
2020-09-07,1772.85
2020-09-08,1733.88
2020-09-09,1773.37
2020-09-10,1764.86
2020-09-11,1772.89
2020-09-14,1758.65
2020-09-15,1743.93
2020-09-16,1738.1
2020-09-17,1745.73
2020-09-18,1731.76
2020-09-21,1682.26
2020-09-22,1693.09
2020-09-23,1685.4
2020-09-24,1665.96
2020-09-25,1674.14
2020-09-28,1738.44
2020-09-29,1718.21
2020-09-30,1712.73
2020-10-01,1694.18
2020-10-02,1697.39
2020-10-05,1731.85
2020-10-06,1735.45
2020-10-07,1736.61
2020-10-08,1719.91
2020-10-09,1698.91
2020-10-12,1683.21
2020-10-13,1660.12
2020-10-14,1670.26
2020-10-15,1627.59
2020-10-16,1655.36
2020-10-19,1648.11
2020-10-20,1656.34
2020-10-21,1641.42
2020-10-22,1642.7
2020-10-23,1645.32
2020-10-26,1631.66
2020-10-27,1625.54
2020-10-28,1549.74
2020-10-29,1542.76
2020-10-30,1515.97
2020-11-02,1556.14
2020-11-03,1636.28
2020-11-04,1640.94
2020-11-05,1670.43
2020-11-06,1697.49
2020-11-09,1765.71
2020-11-10,1779.34
2020-11-12,1771.49
2020-11-13,1749.41
2020-11-16,1799.02
2020-11-17,1793.56
2020-11-18,1810.43
2020-11-19,1789.79
2020-11-20,1820.85
2020-11-23,1832.04
2020-11-24,1859.42
2020-11-25,1860.15
2020-11-26,1849.57
2020-11-27,1852.69
2020-11-30,1830.04
2020-12-01,1853.38
2020-12-02,1897.97
2020-12-03,1890.11
2020-12-04,1947.68
2020-12-07,1958.53
2020-12-08,1970.27
2020-12-09,1994.12
2020-12-10,1984
2020-12-11,1950.85
2020-12-14,1939.07
2020-12-15,1955.69
2020-12-16,1985.26
2020-12-17,1975.76
2020-12-18,1952.54
2020-12-21,1888.8
2020-12-22,1928.4
2020-12-23,1955.84
2020-12-28,2004.41
2020-12-29,2016.01
2020-12-30,1983.98
2021-01-04,2008.75
2021-01-05,2009.12
2021-01-07,2074.11
2021-01-08,2072.74
2021-01-11,2066.97
2021-01-12,2043.73
2021-01-13,2023.36
2021-01-14,2031.71
2021-01-15,1985.68
2021-01-18,2023.74
2021-01-19,1980.12
2021-01-20,1986.09
2021-01-21,1953.49
2021-01-22,1952.67
2021-01-25,1945.78
2021-01-26,1981.98
2021-01-27,1929.21
2021-01-28,1987.83
2021-01-29,1948.01
2021-02-01,1967.72
2021-02-02,1954.02
2021-02-03,1940.69
2021-02-04,1927.02
2021-02-05,1957.73
2021-02-08,1952.1
2021-02-09,1941.6
2021-02-10,1917.54
2021-02-11,1954.92
2021-02-12,1937.07
2021-02-15,1974.82
2021-02-16,2004.54
2021-02-17,1986.8
2021-02-18,1980.77
2021-02-19,1985.31
2021-02-22,1961.62
2021-02-23,1922.59
2021-02-24,1937.9
2021-02-25,1936.47
2021-02-26,1907.28
2021-03-01,1949.57
2021-03-02,1959.52
2021-03-03,1943.24
2021-03-04,1944.86
2021-03-05,1939.59
2021-03-08,1965.25
2021-03-09,1994.18
2021-03-10,2003.55
2021-03-11,1994.38
2021-03-12,2006.11
2021-03-15,2001.24
2021-03-16,1981.41
2021-03-17,1939.01
2021-03-18,1960.75
2021-03-19,1927.56
2021-03-22,1929.12
2021-03-23,1923.55
2021-03-24,1899.95
2021-03-25,1876.85
2021-03-26,1918.71
2021-03-29,1953.02
2021-03-30,1942.32
2021-03-31,1938.84
2021-04-01,1954.38
2021-04-06,2012.87
2021-04-07,1998.73
2021-04-08,1980.32
2021-04-09,1975.11
2021-04-12,1982.58
2021-04-13,1974.73
2021-04-14,2011.96
2021-04-15,2019.29
2021-04-16,2012.27
2021-04-19,1998.99
2021-04-20,1987.76
2021-04-21,1982.4
2021-04-22,1989.73
2021-04-23,1986.63
2021-04-26,2005.1
2021-04-27,1998.92
2021-04-28,2029.64
2021-04-29,2050.69
2021-04-30,2037.59
2021-05-04,2004.04
2021-05-05,2047.36
2021-05-06,2046.67
2021-05-07,2097.31
2021-05-10,2115.7
2021-05-11,2110.48
2021-05-12,2091.39
2021-05-13,2089.32
2021-05-14,2092.8
2021-05-17,2128.49
2021-05-18,2136.54
2021-05-19,2115.15
2021-05-20,2131.18
2021-05-21,2139.06
2021-05-24,2134.18
2021-05-25,2153.78
2021-05-26,2164.89
2021-05-27,2207.47
2021-05-28,2236.31
2021-05-31,2233.36
2021-06-01,2233.37
2021-06-02,2252.26
2021-06-04,2254.59
2021-06-07,2246.63
2021-06-08,2237.61
2021-06-09,2218.45
2021-06-10,2236.89
2021-06-11,2224.67
2021-06-14,2253.2
2021-06-15,2230.37
2021-06-16,2225.27
2021-06-17,2211.58
2021-06-18,2220.68
2021-06-21,2219.45
2021-06-22,2220.53
2021-06-23,2233.7
2021-06-24,2273.11
2021-06-25,2282.46
2021-06-28,2285.81
2021-06-29,2258.24
2021-06-30,2218.41
2021-07-01,2250.58
2021-07-02,2252.18
2021-07-05,2258.82
2021-07-06,2228.46
2021-07-07,2285.79
2021-07-08,2234.6
2021-07-09,2251.78
2021-07-12,2255.48
2021-07-13,2264.26
2021-07-14,2268.57
2021-07-15,2260.49
2021-07-16,2258.1
2021-07-19,2205.86
2021-07-20,2221.28
2021-07-21,2241.97
2021-07-22,2229.86
2021-07-23,2242.41
2021-07-26,2240.65
2021-07-27,2224.59
2021-07-28,2245.76
2021-07-29,2265.69
2021-07-30,2253.45
2021-08-02,2253.28
2021-08-03,2257.73
2021-08-04,2272.09
2021-08-05,2270.67
2021-08-06,2273.89
2021-08-09,2274.48
2021-08-10,2277.23
2021-08-11,2283.69
2021-08-12,2297.72
2021-08-13,2302.03
2021-08-16,2282.1
2021-08-17,2300.04
2021-08-18,2284.97
2021-08-19,2260.02
2021-08-20,2255.56
2021-08-23,2287.52
2021-08-24,2300.9
2021-08-25,2325.19
2021-08-26,2309.44
2021-08-27,2323.77
2021-08-30,2350.23
2021-08-31,2368.03
2021-09-01,2371.16
2021-09-02,2391.94
2021-09-03,2380.82
2021-09-06,2416.38
2021-09-07,2394.79
2021-09-08,2364.63
2021-09-09,2356.39
2021-09-10,2360.7
2021-09-13,2387.74
2021-09-14,2376.01
2021-09-15,2355.23
2021-09-16,2357.28
2021-09-17,2333.01
2021-09-20,2272.52
2021-09-21,2278.11
2021-09-22,2334.1
2021-09-23,2320.51
2021-09-24,2299.18
2021-09-27,2292.47
2021-09-28,2275.68
2021-09-29,2290.97
2021-09-30,2310.29
2021-10-01,2327.88
2021-10-04,2338.09
2021-10-05,2364.72
2021-10-06,2349.46
2021-10-07,2359.54
2021-10-08,2411.12
2021-10-11,2457.36
2021-10-12,2472.33
2021-10-13,2451.89
2021-10-14,2459.5
2021-10-15,2453.98
2021-10-18,2459.81
2021-10-19,2447.54
2021-10-20,2443.11
2021-10-21,2427.35
2021-10-22,2417.09
2021-10-25,2427.19
2021-10-26,2425.29
2021-10-27,2404.82
2021-10-28,2392.67
2021-10-29,2405.05
2021-11-02,2407.53
2021-11-03,2380.11
2021-11-04,2438.8
2021-11-05,2439.16
2021-11-08,2423.92
2021-11-09,2395.05
2021-11-10,2366.59
2021-11-12,2358.23
2021-11-15,2335.04
2021-11-16,2340.03
2021-11-17,2317.49
2021-11-18,2271.31
2021-11-19,2248.18
2021-11-22,2247.82
2021-11-23,2261.15
2021-11-24,2239.75
2021-11-25,2229.44
2021-11-26,2143.13
2021-11-29,2148.62
2021-11-30,2194.37
2021-12-01,2217.18
2021-12-02,2201.86
2021-12-03,2179.71
2021-12-06,2190.67
2021-12-07,2231.12
2021-12-08,2219.62
2021-12-09,2212.81
2021-12-10,2213.78
2021-12-13,2214.38
2021-12-14,2211.81
2021-12-15,2161.04
2021-12-16,2213.89
2021-12-17,2194.56
2021-12-20,2189.91
2021-12-21,2185.47
2021-12-22,2212.32
2021-12-23,2225.8
2021-12-27,2226.24
2021-12-28,2252.43
2021-12-29,2260.7
2021-12-30,2266.92
2022-01-03,2286.5
2022-01-04,2300.68
2022-01-05,2310.97
2022-01-07,2311.93
2022-01-10,2291.23
2022-01-11,2344.45
2022-01-12,2411.11
2022-01-13,2407.62
2022-01-14,2383.16
2022-01-17,2365.29
2022-01-18,2317.36
2022-01-19,2316.94
2022-01-20,2308.94
2022-01-21,2273.81
2022-01-24,2170.36
2022-01-25,2199.6
2022-01-26,2233.18
2022-01-27,2234.33
2022-01-28,2183.7
2022-01-31,2209.62
2022-02-01,2224.28
2022-02-02,2252.92
2022-02-03,2235.15
2022-02-04,2174.57
2022-02-07,2171.62
2022-02-08,2215.12
2022-02-09,2235.93
2022-02-10,2213.21
2022-02-11,2203.13
2022-02-14,2161.79
2022-02-15,2209.7
2022-02-16,2212.73
2022-02-17,2175.61
2022-02-18,2143.28
2022-02-21,2069.53
2022-02-22,2101.31
2022-02-23,2038.99
2022-02-24,1817.45
2022-02-25,1970.78
2022-02-28,1999.88
2022-03-01,1967.01
2022-03-02,2043.96
2022-03-03,2009.56
2022-03-04,1918.75
2022-03-07,1934.94
2022-03-08,1908.1
2022-03-09,1973.25
2022-03-10,1970.27
2022-03-11,2033.49
2022-03-14,1972.14
2022-03-15,1999.93
2022-03-16,2060.07
2022-03-17,2125.29
2022-03-18,2099.26
2022-03-21,2093.04
2022-03-22,2121.52
2022-03-23,2120.86
2022-03-24,2138.8
2022-03-25,2115.58
2022-03-28,2123.12
2022-03-29,2171.56
2022-03-30,2179.56
2022-03-31,2133.05
2022-04-01,2164.81
2022-04-04,2157.79
2022-04-05,2123.49
2022-04-06,2107.82
2022-04-07,2076.63
2022-04-08,2085.07
2022-04-11,2121.65
2022-04-12,2094.01
2022-04-13,2104.32
2022-04-14,2093.17
2022-04-19,2068.52
2022-04-20,2047.81
2022-04-21,2028.76
2022-04-22,1973.31
2022-04-25,1919.55
2022-04-26,1896.46
2022-04-27,1883.09
2022-04-28,1884.42
2022-04-29,1858.12
2022-05-02,1824.05
2022-05-04,1812.56
2022-05-05,1765.85
2022-05-06,1765.14
2022-05-09,1727.34
2022-05-10,1719.24
2022-05-11,1718.07
2022-05-12,1691.62
2022-05-13,1765.63
2022-05-16,1762.22
2022-05-17,1800.55
2022-05-18,1801.68
2022-05-19,1776.4
2022-05-20,1782.66
2022-05-23,1836.87
2022-05-24,1810.98
2022-05-25,1796.58
2022-05-26,1827.01
2022-05-27,1810.68
2022-05-30,1858.6
2022-05-31,1842.93
2022-06-01,1822.57
2022-06-02,1833.76
2022-06-03,1819.99
2022-06-06,1849.55
2022-06-07,1828.57
2022-06-08,1792.8
2022-06-09,1767.5
2022-06-10,1725.18
2022-06-13,1681.75
2022-06-14,1704.07
2022-06-15,1707.11
2022-06-17,1676.67
2022-06-20,1679.89
2022-06-21,1719.05
2022-06-22,1680.61
2022-06-23,1654.32
2022-06-24,1682.33
2022-06-27,1713.18
2022-06-28,1739.08
2022-06-29,1733.19
2022-06-30,1695.97
2022-07-01,1688.85
2022-07-04,1693.1
2022-07-05,1644.46
2022-07-06,1654.84
2022-07-07,1708.8
2022-07-08,1740.46
2022-07-11,1714.56
2022-07-12,1663.46
2022-07-13,1655.65
2022-07-14,1613.98
2022-07-15,1620.13
2022-07-18,1669.48
2022-07-19,1679.27
2022-07-20,1694.58
2022-07-21,1683.09
2022-07-22,1701.73
2022-07-25,1685.62
2022-07-26,1654.7
2022-07-27,1651.89
2022-07-28,1667.17
2022-07-29,1721.11
2022-08-01,1736.47
2022-08-02,1713.61
2022-08-03,1688.03
2022-08-04,1674.37
2022-08-05,1652.14
2022-08-08,1695.78
2022-08-09,1684.14
2022-08-10,1694.11
2022-08-11,1724.98
2022-08-12,1735.07
2022-08-16,1735
2022-08-17,1682.93
2022-08-18,1699.68
2022-08-19,1673.4
2022-08-22,1640.02
2022-08-23,1656.77
2022-08-24,1620.63
2022-08-25,1632
2022-08-26,1602.81
2022-08-29,1573.35
2022-08-30,1535.11
2022-08-31,1528.22
2022-09-01,1462.59
2022-09-02,1505.75
2022-09-05,1492.06
2022-09-06,1452.86
2022-09-07,1469.42
2022-09-08,1473.18
2022-09-09,1534.68
2022-09-12,1561.97
2022-09-13,1519.35
2022-09-14,1528.29
2022-09-15,1539.75
2022-09-16,1501.91
2022-09-19,1527.25
2022-09-20,1497.41
2022-09-21,1509.32
2022-09-22,1518.19
2022-09-23,1457.78
2022-09-26,1433.08
2022-09-27,1458.81
2022-09-28,1435.37
2022-09-29,1380.1
2022-09-30,1377.91
2022-10-03,1386.96
2022-10-04,1449.81
2022-10-05,1419.12
2022-10-06,1417.82
2022-10-07,1405.21
2022-10-10,1379.49
2022-10-11,1381.84
2022-10-12,1377.19
2022-10-13,1358.5
2022-10-14,1397.23
2022-10-17,1414.06
2022-10-18,1427.68
2022-10-19,1397.66
2022-10-20,1426.52
2022-10-21,1411.62
2022-10-24,1433.21
2022-10-25,1444.02
2022-10-26,1487.6
2022-10-27,1506.74
2022-10-28,1508.7
2022-10-31,1536.28
2022-11-02,1573.97
2022-11-03,1559.55
2022-11-04,1601.27
2022-11-07,1618.14
2022-11-08,1644.75
2022-11-09,1644.12
2022-11-10,1690.38
2022-11-14,1743.89
2022-11-15,1769.55
2022-11-16,1741.17
2022-11-17,1708.23
2022-11-18,1707.23
2022-11-21,1685.5
2022-11-22,1717.75
2022-11-23,1713.61
2022-11-24,1753.95
2022-11-25,1755.69
2022-11-28,1728.74
2022-11-29,1736.19
2022-11-30,1736.26
2022-12-01,1766.38
2022-12-02,1733.46
2022-12-05,1746.54
2022-12-06,1733.59
2022-12-07,1735.66
2022-12-08,1725.66
2022-12-09,1730.16
2022-12-12,1755.34
2022-12-13,1784.67
2022-12-14,1787.37
2022-12-15,1756.52
2022-12-16,1741.3
2022-12-19,1743.24
2022-12-20,1763.2
2022-12-21,1786.1
2022-12-22,1780.07
2022-12-23,1780.27
2022-12-27,1765.87
2022-12-28,1767.88
2022-12-29,1802.2
2022-12-30,1792.01
2023-01-02,1791.47
2023-01-03,1824.82
2023-01-04,1855.05
2023-01-05,1856.05
2023-01-09,1912.47
2023-01-10,1937.98
2023-01-11,1914.74
2023-01-12,1930.79
2023-01-13,1923.44
2023-01-16,1933.08
2023-01-17,1904.51
2023-01-18,1913.25
2023-01-19,1889.84
2023-01-20,1892.32
2023-01-23,1923.15
2023-01-24,1918.6
2023-01-25,1886.24
2023-01-26,1911.61
2023-01-27,1911.5
2023-01-30,1889.82
2023-01-31,1902.25
2023-02-01,1871.93
2023-02-02,1903.79
2023-02-03,1906.13
2023-02-06,1864.76
2023-02-07,1870.87
2023-02-08,1886.68
2023-02-09,1896.24
2023-02-10,1848.04
2023-02-13,1853.29
2023-02-14,1852.67
2023-02-15,1870.03
2023-02-16,1865.51
2023-02-17,1859.26
2023-02-20,1849.48
2023-02-21,1825.89
2023-02-22,1796.87
2023-02-23,1824.76
2023-02-24,1807.31
2023-02-27,1820.79
2023-02-28,1847.94
2023-03-01,1856.22
2023-03-02,1817.77
2023-03-03,1841.85
2023-03-06,1873.63
2023-03-07,1853.4
